ASV_ID,species_id,species_name,species_group,similarity
ASV041,Pagrus_major,真鲷,鱼类,1.0
ASV042,Acanthopagrus_schlegelii,黑鲷,鱼类,1.0
ASV043,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV044,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV045,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV046,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV047,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV048,Pagrus_major,真鲷,鱼类,0.9787
ASV049,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV050,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV051,Pagrus_major,真鲷,鱼类,0.9787
ASV052,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV053,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV054,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV055,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV056,Pagrus_major,真鲷,鱼类,0.9787
ASV057,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV058,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV059,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV060,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV061,Pagrus_major,真鲷,鱼类,0.9787
ASV062,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV063,Pagrus_major,真鲷,鱼类,0.9787
ASV064,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV065,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV066,Pagrus_major,真鲷,鱼类,0.9787
ASV067,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV068,Pagrus_major,真鲷,鱼类,0.9787
ASV069,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV070,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV071,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV072,Pagrus_major,真鲷,鱼类,0.9787
ASV073,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV074,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV075,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV076,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV077,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV078,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV079,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV080,Spartina_alterniflora,互花米草,入侵植物,0.9787
ASV081,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV082,Actinobacteria_sp,放线菌,细菌,0.9785
ASV083,Actinobacteria_sp,放线菌,细菌,0.9785
ASV084,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV085,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV086,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV087,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV088,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV089,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV090,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV091,Actinobacteria_sp,放线菌,细菌,0.9785
ASV092,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV093,Actinobacteria_sp,放线菌,细菌,0.9785
ASV094,Spartina_alterniflora,互花米草,入侵植物,0.9894
ASV095,Spartina_alterniflora,互花米草,入侵植物,0.9787
ASV096,Spartina_alterniflora,互花米草,入侵植物,1.0
ASV097,Spartina_alterniflora,互花米草,入侵植物,0.9894
ASV098,Spartina_alterniflora,互花米草,入侵植物,0.9894
ASV099,Spartina_alterniflora,互花米草,入侵植物,0.9787
ASV100,Spartina_alterniflora,互花米草,入侵植物,0.9787
ASV101,Actinobacteria_sp,放线菌,细菌,0.9785
ASV102,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV103,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV104,Actinobacteria_sp,放线菌,细菌,0.9785
ASV105,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV106,Actinobacteria_sp,放线菌,细菌,0.9785
ASV107,Actinobacteria_sp,放线菌,细菌,0.9785
ASV108,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV109,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV110,Actinobacteria_sp,放线菌,细菌,0.9785
ASV111,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV112,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV113,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV114,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV115,Actinobacteria_sp,放线菌,细菌,0.9785
ASV116,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV117,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV118,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV119,Actinobacteria_sp,放线菌,细菌,0.9785
ASV120,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV121,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV122,Actinobacteria_sp,放线菌,细菌,0.9785
ASV123,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV124,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV125,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV126,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV127,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV128,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV129,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV130,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV131,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV132,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV133,Actinobacteria_sp,放线菌,细菌,0.9785
ASV134,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV135,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV136,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV137,Actinobacteria_sp,放线菌,细菌,0.9785
ASV138,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV139,Actinobacteria_sp,放线菌,细菌,0.9785
ASV140,Actinobacteria_sp,放线菌,细菌,0.9785
ASV141,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV142,Actinobacteria_sp,放线菌,细菌,0.9785
ASV143,Actinobacteria_sp,放线菌,细菌,0.9785
ASV144,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV145,Actinobacteria_sp,放线菌,细菌,0.9785
ASV146,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV147,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV148,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV149,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV150,Actinobacteria_sp,放线菌,细菌,0.9785
ASV151,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV152,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV153,Actinobacteria_sp,放线菌,细菌,0.9785
ASV154,Actinobacteria_sp,放线菌,细菌,0.9785
ASV155,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV156,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV157,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV158,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV159,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV160,Actinobacteria_sp,放线菌,细菌,0.9785
ASV161,Actinobacteria_sp,放线菌,细菌,0.9785
ASV162,Actinobacteria_sp,放线菌,细菌,0.9785
ASV163,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV164,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV165,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV166,Actinobacteria_sp,放线菌,细菌,0.9785
ASV167,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV168,Actinobacteria_sp,放线菌,细菌,0.9785
ASV169,Actinobacteria_sp,放线菌,细菌,0.9785
ASV170,Actinobacteria_sp,放线菌,细菌,0.9785
ASV171,Actinobacteria_sp,放线菌,细菌,0.9785
ASV172,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV173,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV174,Actinobacteria_sp,放线菌,细菌,0.9785
ASV175,Actinobacteria_sp,放线菌,细菌,0.9785
ASV176,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV177,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV178,Actinobacteria_sp,放线菌,细菌,0.9785
ASV179,Actinobacteria_sp,放线菌,细菌,0.9785
ASV180,Actinobacteria_sp,放线菌,细菌,0.9785
ASV181,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV182,Actinobacteria_sp,放线菌,细菌,0.9785
ASV183,Actinobacteria_sp,放线菌,细菌,0.9785
ASV184,Actinobacteria_sp,放线菌,细菌,0.9785
ASV185,Actinobacteria_sp,放线菌,细菌,0.9785
ASV186,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV187,Actinobacteria_sp,放线菌,细菌,0.9785
ASV188,Actinobacteria_sp,放线菌,细菌,0.9785
ASV189,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV190,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV191,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV192,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV193,Actinobacteria_sp,放线菌,细菌,0.9785
ASV194,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV195,Actinobacteria_sp,放线菌,细菌,0.9785
ASV196,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV197,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV198,Actinobacteria_sp,放线菌,细菌,0.9785
ASV199,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV200,Actinobacteria_sp,放线菌,细菌,0.9785
ASV201,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV202,Actinobacteria_sp,放线菌,细菌,0.9785
ASV203,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV204,Actinobacteria_sp,放线菌,细菌,0.9785
ASV205,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV206,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV207,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV208,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV209,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV210,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV211,Actinobacteria_sp,放线菌,细菌,0.9785
ASV212,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV213,Actinobacteria_sp,放线菌,细菌,0.9785
ASV214,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV215,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV216,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV217,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV218,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV219,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV220,Actinobacteria_sp,放线菌,细菌,0.9785
ASV221,Actinobacteria_sp,放线菌,细菌,0.9785
ASV222,Actinobacteria_sp,放线菌,细菌,0.9785
ASV223,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV224,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV225,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV226,Actinobacteria_sp,放线菌,细菌,0.9785
ASV227,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV228,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV229,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV230,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV231,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV232,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV233,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV234,Actinobacteria_sp,放线菌,细菌,0.9785
ASV235,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV236,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV237,Actinobacteria_sp,放线菌,细菌,0.9785
ASV238,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV239,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV240,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV241,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV242,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV243,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV244,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV245,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV246,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV247,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV248,Actinobacteria_sp,放线菌,细菌,0.9785
ASV249,Actinobacteria_sp,放线菌,细菌,0.9785
ASV250,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV251,Actinobacteria_sp,放线菌,细菌,0.9785
ASV252,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV253,Actinobacteria_sp,放线菌,细菌,0.9785
ASV254,Actinobacteria_sp,放线菌,细菌,0.9785
ASV255,Actinobacteria_sp,放线菌,细菌,0.9785
ASV256,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV257,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV258,Actinobacteria_sp,放线菌,细菌,0.9785
ASV259,Actinobacteria_sp,放线菌,细菌,0.9785
ASV260,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV261,Gammaproteobacteria_sp,γ-变形菌,细菌,1.0
ASV262,Alphaproteobacteria_sp,α-变形菌,细菌,1.0
ASV263,Spartina_alterniflora,互花米草,入侵植物,0.9787
ASV264,Actinobacteria_sp,放线菌,细菌,1.0
ASV265,Actinobacteria_sp,放线菌,细菌,0.9785
ASV266,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV267,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV268,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV269,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV270,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV271,Actinobacteria_sp,放线菌,细菌,0.9785
ASV272,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV273,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV274,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV275,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV276,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV277,Actinobacteria_sp,放线菌,细菌,0.9785
ASV278,Actinobacteria_sp,放线菌,细菌,0.9785
ASV279,Actinobacteria_sp,放线菌,细菌,0.9785
ASV280,Actinobacteria_sp,放线菌,细菌,0.9785
ASV281,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV282,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV283,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV284,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV285,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV286,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV287,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV288,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV289,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV290,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV291,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV292,Actinobacteria_sp,放线菌,细菌,0.9785
ASV293,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV294,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV295,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV296,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV297,Actinobacteria_sp,放线菌,细菌,0.9785
ASV298,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV299,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV300,Actinobacteria_sp,放线菌,细菌,0.9785
ASV301,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV302,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV303,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV304,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV305,Actinobacteria_sp,放线菌,细菌,0.9785
ASV306,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV307,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV308,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV309,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV310,Actinobacteria_sp,放线菌,细菌,0.9785
ASV311,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV312,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV313,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV314,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV315,Actinobacteria_sp,放线菌,细菌,0.9785
ASV316,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV317,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV318,Actinobacteria_sp,放线菌,细菌,0.9785
ASV319,Actinobacteria_sp,放线菌,细菌,0.9785
ASV320,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV321,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV322,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV323,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV324,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV325,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV326,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV327,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV328,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV329,Actinobacteria_sp,放线菌,细菌,0.9785
ASV330,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV331,Actinobacteria_sp,放线菌,细菌,0.9785
ASV332,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV333,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV334,Actinobacteria_sp,放线菌,细菌,0.9785
ASV335,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV336,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV337,Actinobacteria_sp,放线菌,细菌,0.9785
ASV338,Actinobacteria_sp,放线菌,细菌,0.9785
ASV339,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV340,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV341,Actinobacteria_sp,放线菌,细菌,0.9785
ASV342,Actinobacteria_sp,放线菌,细菌,0.9785
ASV343,Actinobacteria_sp,放线菌,细菌,0.9785
ASV344,Actinobacteria_sp,放线菌,细菌,0.9785
ASV345,Actinobacteria_sp,放线菌,细菌,0.9785
ASV346,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV347,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV348,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV349,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV350,Actinobacteria_sp,放线菌,细菌,0.9785
ASV351,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV352,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV353,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV354,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV355,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV356,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV357,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV358,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV359,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV360,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV361,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV362,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV363,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV364,Actinobacteria_sp,放线菌,细菌,0.9785
ASV365,Actinobacteria_sp,放线菌,细菌,0.9785
ASV366,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV367,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV368,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV369,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV370,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV371,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV372,Actinobacteria_sp,放线菌,细菌,0.9785
ASV373,Actinobacteria_sp,放线菌,细菌,0.9785
ASV374,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV375,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV376,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV377,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV378,Actinobacteria_sp,放线菌,细菌,0.9785
ASV379,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV380,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV381,Actinobacteria_sp,放线菌,细菌,0.9785
ASV382,Actinobacteria_sp,放线菌,细菌,0.9785
ASV383,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV384,Actinobacteria_sp,放线菌,细菌,0.9785
ASV385,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV386,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV387,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV388,Actinobacteria_sp,放线菌,细菌,0.9785
ASV389,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV390,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV391,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV392,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV393,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV394,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV395,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV396,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV397,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV398,Actinobacteria_sp,放线菌,细菌,0.9785
ASV399,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV400,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV401,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV402,Actinobacteria_sp,放线菌,细菌,0.9785
ASV403,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV404,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV405,Actinobacteria_sp,放线菌,细菌,0.9785
ASV406,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV407,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV408,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV409,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV410,Pagrus_major,真鲷,鱼类,0.9787
ASV411,Gammaproteobacteria_sp,γ-变形菌,细菌,0.9785
ASV412,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV413,Mactra_antiquata,西施舌,底栖生物,0.9785
ASV414,Acipenser_sinensis,中华鲟,珍稀鱼类,0.9894
ASV415,Acipenser_sinensis,中华鲟,珍稀鱼类,1.0
ASV416,Acipenser_sinensis,中华鲟,珍稀鱼类,0.9787
